author;city;district;street;underground
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Tsentral'nyj;Kremenchugskaja;Ploschad' Vosstanija
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Moskovskij;Malaja Mitrofan'evskaja;Moskovskie vorota
ID 90776416;Sankt-Peterburg;Vyborgskij;Aleksandra Matrosova;Lesnaja
Елена Попова;Sankt-Peterburg;Primorskij;Chernaja rechka;Chernaja rechka
М16;Sankt-Peterburg;Primorskij;Dibunovskaja;Staraja Derevnja
House Estate;Sankt-Peterburg;Moskovskij;Tipanova;Moskovskaja
ID 48712443;Sankt-Peterburg;Primorskij;Kolomjagi;Komendantskij prospekt
КВС;Sankt-Peterburg;Kurortnyj;Sadovaja;Prospekt Prosveschenija
House Estate;Sankt-Peterburg;Moskovskij;Moskovskaja zastava;Moskovskie vorota
NEDmax;Sankt-Peterburg;Tsentral'nyj;Ligovka-Jamskaja;Ploschad' Vosstanija
Рикэл;Sankt-Peterburg;Kalininskij;Prometej;Grazhdanskij prospekt
Прагма;Sankt-Peterburg;Vyborgskij;doroga Ol'ginskaja;Parnas
ФСК;Sankt-Peterburg;Vyborgskij;Shuvalovo-Ozerki;Prospekt Prosveschenija
Отделстрой;Sankt-Peterburg;Vyborgskij;Sampsonievskoe;Lesnaja
ID 100721296;Sankt-Peterburg;Pushkinskij;prospekt Novgorodskij;Zvezdnaja
Шельф;Sankt-Peterburg;Pushkinskij;prospekt Novgorodskij;Kupchino
Шельф;Sankt-Peterburg;Pushkinskij;prospekt Novgorodskij;Kupchino
Петербургская Недвижимость;Sankt-Peterburg;Vyborgskij;Manchesterskaja;Udel'naja
Лидер Групп;Sankt-Peterburg;Pushkinskij;prospekt Starorusskij;Shushary
Шельф;Sankt-Peterburg;Pushkinskij;prospekt Novgorodskij;Shushary
Петербургская Недвижимость;Sankt-Peterburg;Moskovskij;Pulkovskij meridian;Moskovskaja
ЛСР. Недвижимость;Sankt-Peterburg;Krasnogvardejskij;Partizanskaja;Novocherkasskaja
ЦДС;Sankt-Peterburg;Vyborgskij;doroga Mihajlovskaja;Ozerki
NEXT;Sankt-Peterburg;Primorskij;Komendantskij aerodrom;Pionerskaja
ЦДС;Sankt-Peterburg;Nevskij;Rusanovskaja;Obuhovo
ЛСР. Недвижимость;Sankt-Peterburg;Primorskij;Kolomjagi;Ozerki
ЛСР. Недвижимость;Sankt-Peterburg;Vasileostrovskij;Gavan';Gornyj institut
ЦДС;Sankt-Peterburg;Primorskij;Chernaja rechka;Chernaja rechka
ЛСР. Недвижимость;Sankt-Peterburg;Nevskij;Nevskij;Ulitsa Dybenko
ЦДС;Sankt-Peterburg;Nevskij;Rusanovskaja;Obuhovo
Prestige;Sankt-Peterburg;Petrogradskij;Petrovskij;Chkalovskaja
Ленстройтрест;Sankt-Peterburg;Kolpinskij;proezd Pontonnyj;Rybatskoe
BEYOND. ex-Engel  Volkers;Sankt-Peterburg;Admiraltejskij;Galernaja;Vasileostrovskaja
BEYOND. ex-Engel  Volkers;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Petrogradskaja
LEGENDA Intelligent Development;Sankt-Peterburg;Vyborgskij;Svetlanovskoe;Ploschad' Muzhestva
LEGENDA Intelligent Development;Sankt-Peterburg;Vyborgskij;Svetlanovskoe;Ploschad' Muzhestva
