author;author_type;city;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;district;street;underground
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;2;12;1;46.9;185800.0;8714020;2021;30.0;;Moskovskij;Zvezdnoe;Zvezdnaja
ИЛЬИЧ home;Представитель застройщика;Sankt-Peterburg;10;14;1;40.19;279278.0;11224207;2023;14.0;15.0;Primorskij;Chernaja rechka;Lesnaja
Группа Аквилон;Застройщик;Sankt-Peterburg;5;13;1;31.84;175813.0;5597886;2025;12.0;10.0;Pushkinskij;;Kupchino
House Estate;Агентство недвижимости;Sankt-Peterburg;7;21;1;46.5;150537.0;6999999;2018;21.0;12.0;Primorskij;Gluharskaja;Komendantskij prospekt
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;1;13;1;31.7;183700.0;5823290;2022;10.0;15.0;Krasnogvardejskij;Poljustrovo;Akademicheskaja
Терминал-Ресурс;Застройщик;Sankt-Peterburg;1;4;1;38.8;154506.0;5994842;2022;15.0;;Pushkinskij;Obraztsovaja;Shushary
Терминал-Ресурс;Застройщик;Sankt-Peterburg;4;4;1;40.6;148600.0;6033160;2022;11.0;;Pushkinskij;Kokkolevskaja;Shushary
Стоун;Застройщик;Sankt-Peterburg;11;11;1;33.5;113044.0;3787000;2024;14.0;;Pushkinskij;Predprijatija Lensovetovskoe ter.;Shushary
Терминал-Ресурс;Застройщик;Sankt-Peterburg;1;4;1;28.36;178500.0;5062260;2024;15.0;;Pushkinskij;Sokolinaja;Shushary
Терминал-Ресурс;Застройщик;Sankt-Peterburg;1;4;1;42.0;143914.0;6044394;2022;15.0;;Pushkinskij;Obraztsovaja;Shushary
Терминал-Ресурс;Застройщик;Sankt-Peterburg;2;4;1;38.4;158932.0;6103002;2023;15.0;;Pushkinskij;Kokkolevskaja;Shushary
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;5;5;1;30.1;162458.0;4890000;1961;15.0;6.0;Nevskij;Obuhovskij;Proletarskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;3;9;1;34.1;131964.0;4500000;1983;18.0;6.0;Petrodvortsovyj;Chebyshevskaja;Avtovo
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;6;9;1;29.1;189003.0;5500000;1974;15.0;6.0;Nevskij;Podvojskogo;Ulitsa Dybenko
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;2;20;1;41.0;214634.0;8800000;2013;17.0;10.0;Primorskij;Optikov;Begovaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;3;20;1;45.4;147577.0;6700000;2013;19.0;13.0;Pushkinskij;Visherskaja;Kupchino
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;6;10;1;46.7;148822.0;6950000;1989;18.0;13.0;Nevskij;Krylenko;Ulitsa Dybenko
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;6;12;1;39.2;198979.0;7800000;1992;20.0;8.0;Primorskij;Savushkina;Begovaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;2;5;1;31.3;252396.0;7900000;1880;16.0;5.0;Tsentral'nyj;Litejnyj;Chernyshevskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;12;12;1;39.0;170256.0;6640000;1986;20.0;10.0;Primorskij;Parashjutnaja;Komendantskij prospekt
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;9;28;1;41.3;145278.0;6000000;2017;10.0;14.0;Vyborgskij;Valerija Gavrilina;Parnas
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;19;24;1;31.74;157529.0;5000000;2023;15.0;9.0;Nevskij;Rusanovskaja;Rybatskoe
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;2;25;1;41.1;177615.0;7300000;2009;17.0;11.0;Primorskij;Optikov;Begovaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;1;3;1;48.9;178936.0;8750000;2022;15.0;20.0;Petrodvortsovyj;Krasnosel'skoe shosse;Prospekt Veteranov
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;4;14;1;38.43;244600.0;9400000;;16.0;12.0;Primorskij;Beloostrovskaja;Lesnaja
BE HOME;Агентство недвижимости;Sankt-Peterburg;2;17;1;41.6;237980.0;9900000;2006;18.0;12.0;Vasileostrovskij;Ostrov Dekabristov;Primorskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;10;12;1;35.9;179665.0;6449999;2018;17.0;9.0;Krasnosel'skij;Sosnovaja poljana;Prospekt Veteranov
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;21;23;1;31.0;174193.0;5400000;2020;17.0;7.0;Krasnogvardejskij;Poljustrovo;Akademicheskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;16;16;1;42.1;136579.0;5750000;2009;17.0;10.0;Krasnosel'skij;Gorelovo;Prospekt Veteranov
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;20;25;1;37.4;166550.0;6229000;2019;15.0;12.0;Pushkinskij;Visherskaja;Kupchino
Физическое лицо;Собственник;Sankt-Peterburg;4;5;1;34.0;194117.0;6600000;1964;17.0;9.0;Pushkinskij;Pavlovskoe shosse;Moskovskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;23;25;1;36.3;140495.0;5100000;;11.0;17.0;Krasnogvardejskij;Poljustrovo;Grazhdanskij prospekt
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;15;24;1;40.58;142927.0;5800000;2023;10.0;19.0;Nevskij;prospekt Bol'shevikov;Ulitsa Dybenko
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;9;9;1;34.5;171014.0;5900000;1978;19.0;6.0;Vyborgskij;Simonova;Prospekt Prosveschenija
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;14;26;1;31.6;189873.0;6000000;2017;12.0;10.0;Vyborgskij;Nikolaja Rubtsova;Parnas
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;8;9;1;35.1;182336.0;6400000;1972;17.0;8.0;Kalininskij;Rustaveli;Grazhdanskij prospekt
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;5;13;1;34.6;187861.0;6500000;2019;17.0;10.0;Krasnosel'skij;Letchika Liholetova;Prospekt Veteranov
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;5;9;1;34.5;191304.0;6600000;2020;13.0;10.0;Primorskij;Kolomjagi;Parnas
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;10;14;1;37.15;182772.0;6790000;2022;17.0;10.0;Primorskij;Kolomjagi;Komendantskij prospekt
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;17;20;1;34.0;220588.0;7500000;2018;15.0;10.0;Vasileostrovskij;Morskoj;Primorskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;16;16;1;37.9;217414.0;8240000;2005;18.0;10.0;Moskovskij;Zvezdnoe;Moskovskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;1;4;1;36.6;226775.0;8300000;2018;14.0;14.0;Primorskij;Novaja;Begovaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;14;25;1;36.5;230958.0;8430000;2022;12.0;15.0;Primorskij;Kolomjagi;Prospekt Prosveschenija
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;3;24;1;40.0;215000.0;8600000;2013;18.0;11.0;Moskovskij;Zvezdnoe;Zvezdnaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;2;20;1;36.1;240997.0;8700000;2021;12.0;14.0;Nevskij;Nevskaja zastava;Elizarovskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;7;18;1;37.8;230158.0;8700000;2019;11.0;17.0;Moskovskij;Pulkovskij meridian;Moskovskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;8;17;1;34.46;275652.0;9499000;2021;14.0;8.0;Vasileostrovskij;Cheljuskina;Primorskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;13;17;1;41.9;236276.0;9900000;2014;20.0;11.0;Kurortnyj;Primorskoe shosse;Begovaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;4;8;1;42.4;244103.0;10350000;2022;11.0;16.0;Kirovskij;Dvinskaja;Baltijskaja
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;2;9;1;39.0;320512.0;12500000;2014;18.0;10.0;Tsentral'nyj;Kremenchugskaja;Ploschad' Vosstanija
ЦАН - Центральное Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;18;20;1;50.9;275049.0;14000000;2021;21.0;14.0;Moskovskij;Malaja Mitrofan'evskaja;Moskovskie vorota
THE KEYS;Агентство недвижимости;Sankt-Peterburg;5;16;1;36.84;189739.0;6990000;2021;11.0;17.0;Moskovskij;Zvezdnoe;
Елена Попова;Риелтор;Sankt-Peterburg;10;16;1;40.7;342751.0;13950000;2022;14.0;14.0;Primorskij;Chernaja rechka;Chernaja rechka
М16;Агентство недвижимости;Sankt-Peterburg;11;25;1;50.0;260000.0;13000000;2005;20.0;15.0;Primorskij;Dibunovskaja;Staraja Derevnja
House Estate;Агентство недвижимости;Sankt-Peterburg;9;25;1;43.0;267209.0;11490000;2011;18.0;14.0;Moskovskij;Tipanova;Moskovskaja
КВС;Агентство недвижимости;Sankt-Peterburg;7;8;1;35.0;185714.0;6500000;2020;11.0;13.0;Kurortnyj;Sadovaja;Prospekt Prosveschenija
House Estate;Агентство недвижимости;Sankt-Peterburg;5;11;1;41.7;232374.0;9690000;2021;13.0;13.0;Moskovskij;Moskovskaja zastava;Moskovskie vorota
NEDmax;Агентство недвижимости;Sankt-Peterburg;4;9;1;45.0;340000.0;15300000;2013;20.0;12.0;Tsentral'nyj;Ligovka-Jamskaja;Ploschad' Vosstanija
Рикэл;Застройщик;Sankt-Peterburg;5;25;1;48.0;189727.0;9106900;2020;19.0;13.0;Kalininskij;Prometej;Grazhdanskij prospekt
Прагма;Застройщик;Sankt-Peterburg;15;23;1;39.3;184798.0;7262589;2022;15.0;12.0;Vyborgskij;doroga Ol'ginskaja;Parnas
ФСК;Представитель застройщика;Sankt-Peterburg;1;6;1;54.0;184574.0;9967047;2021;22.0;16.0;Vyborgskij;Shuvalovo-Ozerki;Prospekt Prosveschenija
Отделстрой;Застройщик;Sankt-Peterburg;1;12;1;35.89;264084.0;9478000;2023;16.0;10.0;Vyborgskij;Sampsonievskoe;Lesnaja
Физическое лицо;Собственник;Sankt-Peterburg;10;26;1;37.77;150913.0;5700000;2023;10.0;16.0;Pushkinskij;prospekt Novgorodskij;Zvezdnaja
Шельф;Застройщик;Sankt-Peterburg;21;26;1;32.88;175517.0;5771000;2023;10.0;11.0;Pushkinskij;prospekt Novgorodskij;Kupchino
Шельф;Застройщик;Sankt-Peterburg;7;26;1;37.66;164687.0;6202120;2023;11.0;13.0;Pushkinskij;prospekt Novgorodskij;Kupchino
Трест 36;Застройщик;Sankt-Peterburg;6;8;1;30.56;295500.0;9030480;2023;;;Nevskij;Sedova;Lomonosovskaja
Трест 36;Застройщик;Sankt-Peterburg;3;7;1;29.39;277987.0;8170042;2023;;;Nevskij;Sedova;Lomonosovskaja
Петербургская Недвижимость;Представитель застройщика;Sankt-Peterburg;1;10;1;32.8;289637.0;9500126;2022;12.0;11.0;Vyborgskij;Manchesterskaja;Udel'naja
Лидер Групп;Застройщик;Sankt-Peterburg;9;12;1;33.55;180000.0;6039000;2024;15.0;9.0;Pushkinskij;prospekt Starorusskij;Shushary
